11	0.701081 0.786121 0.789443 0.889838 0.932587 0.719357 0.932403 0.86621 0.910044 0.771989 0.754643 0.921369 0.802815 0.790108 0.92571 0.930288 0.880188 0.9262 0.704925 0.821338 0.861869 0.81043 0.808786 0.739011 0.71552 0.720933 0.720247 0.910646 0.773789 0.825921 0.769807 0.794902 0.725424 0.706412 0.932822 0.916865 0.916313 0.743558 0.874558 0.704683 0.837017 0.895786 0.883755 0.921522 0.89362 0.920418 0.722967 0.86288 0.924533 0.752001 0.918177 0.931995 0.865247 0.755111 0.918124 0.903849 0.765062 0.873028 0.712556 0.806551 0.917775 0.927122 0.93297 0.755439 0.714667 0.709816 0.897557 0.789949 0.88993 0.726837 0.918298 0.850516 0.937021 0.705319 0.886851 0.801755 0.745796 0.924205 0.924678 0.903447 0.718221 0.801994 0.792836 0.898383 0.918822 0.918003 0.702654 0.909477 0.865796 0.934683 0.901356 0.768235 0.770915 0.895891 0.828273 0.903943 0.728989 0.774449 0.710989 0.708486 
12	0.668963 0.837624 0.847377 0.717081 0.723039 0.828649 0.739798 0.737535 0.701619 0.885435 0.80293 0.722953 0.797666 0.801717 0.716736 0.73232 0.782521 0.716079 0.722089 0.821526 0.731269 0.795635 0.837197 0.845189 0.813443 0.8355 0.836853 0.729477 0.851375 0.788123 0.815011 0.754881 0.803206 0.739843 0.724586 0.727936 0.744751 0.82083 0.779211 0.743948 0.828515 0.732801 0.772425 0.747256 0.778184 0.721825 0.807277 0.778615 0.757294 0.847776 0.714135 0.751363 0.782945 0.823095 0.709978 0.768189 0.809387 0.738145 0.804723 0.788096 0.701746 0.701254 0.733287 0.8136 0.817168 0.785975 0.73936 0.811126 0.744187 0.838196 0.753244 0.793014 0.735689 0.724711 0.752771 0.769736 0.820607 0.71806 0.723397 0.721502 0.818882 0.822126 0.802949 0.77077 0.757742 0.713546 0.708618 0.702459 0.730215 0.731991 0.762918 0.848633 0.857063 0.743523 0.796325 0.755782 0.833294 0.830567 0.784351 0.764292 
13	0.702381 0.892396 0.921098 0.853846 0.787016 0.801251 0.800653 0.84807 0.778468 0.719134 0.84655 0.692615 0.924537 0.857439 0.764617 0.848456 0.889649 0.810006 0.727375 0.921785 0.873419 0.929478 0.90882 0.855674 0.766961 0.81065 0.770407 0.861481 0.891553 0.917079 0.895684 0.894157 0.806919 0.749421 0.78761 0.841195 0.720956 0.845629 0.898164 0.734451 0.926688 0.880017 0.785918 0.836039 0.881141 0.76034 0.817854 0.876301 0.855793 0.863244 0.825242 0.84235 0.913757 0.841242 0.850664 0.787376 0.872346 0.866952 0.769056 0.871731 0.773752 0.782451 0.803781 0.890151 0.772774 0.736096 0.8535 0.889603 0.825734 0.799792 0.82756 0.922926 0.746053 0.737211 0.891918 0.903922 0.860606 0.783434 0.795793 0.856177 0.769816 0.913791 0.876124 0.765218 0.863017 0.824125 0.727424 0.826819 0.870234 0.798104 0.837677 0.873411 0.882541 0.884535 0.903321 0.72119 0.811523 0.73155 0.769928 0.748182 
14	0.703896 0.883376 0.928129 0.843265 0.779899 0.815826 0.779281 0.881996 0.76613 0.913887 0.896029 0.792822 0.918216 0.914733 0.796069 0.820365 0.818337 0.791292 0.736424 0.876593 0.877351 0.936515 0.871843 0.84948 0.792432 0.811293 0.775261 0.840053 0.786846 0.888612 0.878205 0.916505 0.804177 0.760239 0.75231 0.814058 0.827017 0.847266 0.833703 0.71738 0.92559 0.86122 0.865404 0.807189 0.862394 0.761146 0.807098 0.774242 0.835446 0.827785 0.824437 0.819318 0.847256 0.863715 0.823211 0.835642 0.839944 0.840432 0.755417 0.871221 0.765945 0.781653 0.77115 0.904182 0.78701 0.725693 0.828731 0.909989 0.817179 0.816682 0.819649 0.863612 0.793018 0.744909 0.878498 0.921776 0.797766 0.761693 0.773296 0.823065 0.79065 0.82795 0.887567 0.852807 0.845456 0.802811 0.739561 0.816251 0.838631 0.780645 0.833163 0.836673 0.885318 0.867744 0.89564 0.829899 0.797656 0.892061 0.77476 0.719089 
15	0.691819 0.893909 0.923208 0.781519 0.754805 0.831709 0.768817 0.82028 0.742751 0.88462 0.851638 0.734433 0.883246 0.832783 0.756861 0.783282 0.821617 0.738943 0.714351 0.892408 0.800823 0.901297 0.872357 0.858818 0.795607 0.807907 0.790012 0.800974 0.852169 0.831931 0.877313 0.848512 0.795577 0.74638 0.746824 0.78121 0.770955 0.826171 0.834171 0.728863 0.903891 0.824376 0.81649 0.786347 0.843317 0.731686 0.815217 0.800094 0.812947 0.843215 0.76429 0.797248 0.847421 0.796533 0.776472 0.803813 0.841535 0.759103 0.769058 0.830095 0.703484 0.733669 0.757081 0.896957 0.786202 0.715102 0.772838 0.882681 0.778544 0.805428 0.790891 0.864824 0.761518 0.733785 0.83653 0.857932 0.821851 0.748882 0.750067 0.771266 0.767709 0.874922 0.812458 0.810839 0.814927 0.751681 0.710807 0.736676 0.797897 0.763356 0.800404 0.818608 0.867193 0.829 0.845583 0.775208 0.80091 0.846737 0.77456 0.745752 
16	0.69887 0.791278 0.846695 0.740015 0.730609 0.829796 0.730971 0.791139 0.705241 0.892833 0.865937 0.734609 0.843735 0.83827 0.735918 0.759263 0.754063 0.725646 0.749945 0.788824 0.772072 0.854607 0.84872 0.862226 0.799468 0.81407 0.800073 0.770289 0.815345 0.828588 0.858723 0.829224 0.837348 0.790157 0.720778 0.730807 0.751501 0.870403 0.736438 0.72781 0.839706 0.770568 0.784341 0.749766 0.773096 0.726516 0.832618 0.752205 0.752835 0.806993 0.746595 0.751676 0.736936 0.847491 0.73697 0.766534 0.789502 0.779375 0.753536 0.772699 0.725487 0.728193 0.726727 0.888107 0.826863 0.763548 0.739568 0.813944 0.71597 0.832599 0.752454 0.775567 0.735823 0.773674 0.78209 0.832272 0.80465 0.717641 0.730028 0.720099 0.811178 0.780763 0.848203 0.772511 0.773236 0.730583 0.772394 0.744186 0.738982 0.734369 0.755071 0.848201 0.86253 0.784243 0.821499 0.764782 0.839306 0.823616 0.83225 0.743794 
17	0.693277 0.726428 0.848779 0.86748 0.866489 0.729381 0.862706 0.936099 0.801629 0.841619 0.821578 0.880698 0.871729 0.874054 0.87922 0.914704 0.79792 0.866378 0.704036 0.839165 0.902836 0.905824 0.888873 0.782978 0.716631 0.727821 0.707457 0.920615 0.775811 0.911248 0.825847 0.869205 0.732902 0.717044 0.825146 0.882576 0.905213 0.775149 0.789206 0.694591 0.887574 0.938426 0.931822 0.894269 0.907 0.847352 0.710431 0.871499 0.882112 0.740298 0.901042 0.902189 0.764825 0.802317 0.888706 0.915645 0.747123 0.91177 0.697621 0.818278 0.859749 0.862234 0.822015 0.818731 0.742208 0.700941 0.911478 0.806108 0.811506 0.742177 0.902483 0.891163 0.869842 0.710479 0.934609 0.871995 0.749127 0.827422 0.857414 0.8091 0.708219 0.806761 0.862991 0.920335 0.9264 0.879159 0.719454 0.900428 0.894188 0.855107 0.886808 0.798466 0.823025 0.937783 0.905068 0.924831 0.759579 0.791493 0.731534 0.69952 
18	0.696021 0.889809 0.897883 0.870563 0.812223 0.769309 0.829934 0.884382 0.793455 0.861145 0.810612 0.805209 0.902076 0.843708 0.822959 0.849042 0.907811 0.807421 0.705894 0.92657 0.880678 0.911136 0.896626 0.799344 0.752983 0.760288 0.76208 0.872927 0.843446 0.869108 0.853064 0.860587 0.760446 0.720363 0.810667 0.856717 0.851699 0.792478 0.919036 0.7124 0.935201 0.889668 0.900198 0.863797 0.920406 0.795562 0.770063 0.895759 0.886571 0.823704 0.84455 0.874253 0.929595 0.795712 0.849723 0.888521 0.843888 0.855273 0.745265 0.882272 0.789446 0.792622 0.83236 0.843288 0.741329 0.716682 0.858174 0.881984 0.878591 0.773742 0.86635 0.927085 0.830034 0.710868 0.910721 0.876562 0.801302 0.808779 0.801039 0.870924 0.745546 0.899879 0.832338 0.895303 0.888016 0.836298 0.697057 0.821941 0.875244 0.821224 0.890656 0.820797 0.837261 0.900964 0.878847 0.860143 0.767076 0.85602 0.736447 0.723866 
19	0.684107 0.774817 0.806688 0.709525 0.716242 0.838078 0.720989 0.747869 0.695339 0.851093 0.804135 0.714724 0.788435 0.77056 0.718536 0.728168 0.738396 0.704528 0.743231 0.761143 0.723925 0.795133 0.79152 0.820639 0.802176 0.793883 0.792166 0.735381 0.771378 0.765191 0.777142 0.749893 0.791499 0.794162 0.708056 0.705414 0.726905 0.804437 0.728908 0.73633 0.801727 0.73944 0.749431 0.7272 0.747928 0.710033 0.833032 0.71923 0.735351 0.760655 0.710603 0.729632 0.731372 0.775437 0.706023 0.74226 0.727755 0.723715 0.755919 0.735718 0.692503 0.703875 0.714402 0.829762 0.842397 0.755359 0.70851 0.772355 0.69919 0.787218 0.730855 0.741521 0.71966 0.786497 0.747161 0.766196 0.733609 0.706815 0.713813 0.698465 0.80567 0.734544 0.775055 0.74622 0.745606 0.696642 0.772694 0.702182 0.698513 0.720144 0.728855 0.784176 0.811216 0.748373 0.771261 0.736619 0.785349 0.780583 0.84185 0.745323 
20	0.704425 0.813906 0.830859 0.9262 0.899233 0.738846 0.924839 0.893311 0.878638 0.825221 0.798758 0.939339 0.830155 0.84621 0.910881 0.927029 0.935963 0.948006 0.71674 0.880807 0.927855 0.855608 0.854147 0.762112 0.737089 0.747051 0.740815 0.909849 0.815889 0.880376 0.802679 0.841771 0.751064 0.707984 0.910617 0.926896 0.951966 0.776642 0.931048 0.714175 0.868874 0.92526 0.939968 0.935631 0.944069 0.90712 0.744456 0.924899 0.953698 0.802381 0.943443 0.950648 0.920452 0.79623 0.952555 0.911972 0.811131 0.927835 0.738634 0.849894 0.935351 0.906493 0.94252 0.783083 0.724139 0.726798 0.937341 0.820488 0.942671 0.74928 0.95372 0.904537 0.928869 0.716175 0.923551 0.844708 0.792194 0.891918 0.907944 0.940918 0.739098 0.859435 0.829665 0.950002 0.000201228 0.941763 0.70764 0.947934 0.937209 0.885811 0.948958 0.806709 0.825843 0.906904 0.873707 0.94448 0.760139 0.830521 0.715785 0.724643 
